country,city,kitchen_id,meal_period,sku,description,category,consumption_place,unit,sum(quantity),avg(quantity)
COL,Medellín,11 MANILA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,45180.0,45180.0
COL,Medellín,12 LAURELES,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,40200.0,40200.0
COL,Barranquilla,32 BARRANQUILLA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,39029.6516856903,39029.6516856903
COL,Barranquilla,32 BARRANQUILLA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,39000.0,39000.0
COL,Medellín,11 MANILA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,37800.0,37800.0
COL,Medellín,11 MANILA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,37464.2348424763,37464.2348424763
COL,Medellín,14 ENVIGADO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,35840.0,35840.0
COL,Barranquilla,32 BARRANQUILLA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,34360.0,34360.0
COL,Medellín,12 LAURELES,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,34120.0,34120.0
COL,Bucaramanga,42 CABECERA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,32995.250126,32995.250126
COL,Medellín,12 LAURELES,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,31918.8548616704,31918.8548616704
COL,Cali,46 INGENIO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,29400.0,29400.0
COL,Medellín,14 ENVIGADO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,27900.0,27900.0
COL,Cali,24 SAN FERNANDO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,27300.0,27300.0
COL,Bogotá,06 COLINA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,26700.0,26700.0
COL,Bucaramanga,42 CABECERA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,25500.0,25500.0
COL,Cali,46 INGENIO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,25420.0,25420.0
COL,Cali,22 SANTA MONICA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,25200.0,25200.0
COL,Medellín,12 LAURELES,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,24967.8282936903,24967.8282936903
COL,Medellín,14 ENVIGADO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,24917.4545308646,24917.4545308646
COL,Bogotá,38 KENNEDY,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,24600.0,24600.0
COL,Cali,22 SANTA MONICA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,23920.0,23920.0
COL,Bogotá,36 VILLA DEL PRADO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,23700.0,23700.0
COL,Cali,24 SAN FERNANDO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,23680.0,23680.0
COL,Pereira,28 PEREIRA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,23400.0,23400.0
COL,Bogotá,03 CHAPINERO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,22800.0,22800.0
COL,Medellín,12 LAURELES,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,22295.8009246571,22295.8009246571
COL,Pereira,28 PEREIRA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,22000.0,22000.0
COL,Cali,46 INGENIO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,21747.7557692235,21747.7557692235
COL,Barranquilla,32 BARRANQUILLA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,21656.4411666704,21656.4411666704
COL,Medellín,11 MANILA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,21631.96036,21631.96036
COL,Bogotá,65 CALLE 109,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,21480.0,21480.0
COL,Bogotá,01 USAQUEN,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,20820.0,20820.0
COL,Bogotá,03 CHAPINERO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,20700.0,20700.0
COL,Bogotá,03 CHAPINERO,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,20550.3454676903,20550.3454676903
COL,Cali,24 SAN FERNANDO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,20377.9534898352,20377.9534898352
COL,Bogotá,38 KENNEDY,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,20080.0,20080.0
COL,Bogotá,01 USAQUEN,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,19620.489316,19620.489316
COL,Medellín,29 ITAGUI,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,19200.0,19200.0
COL,Bogotá,06 COLINA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,18700.0,18700.0
COL,Bucaramanga,42 CABECERA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,18520.0,18520.0
COL,Cartagena,33 CARTAGENA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,18422.6672427714,18422.6672427714
COL,Medellín,11 MANILA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,18378.3204,18378.3204
COL,Medellín,11 MANILA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,18299.9243317714,18299.9243317714
COL,Bogotá,03 CHAPINERO,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,18262.5338576571,18262.5338576571
COL,Medellín,18 BELLO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,18106.3939916117,18106.3939916117
COL,Cartagena,33 CARTAGENA,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,18000.0,18000.0
COL,Cartagena,33 CARTAGENA,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,17820.0,17820.0
COL,Bogotá,03 CHAPINERO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,17760.2163364176,17760.2163364176
COL,Medellín,29 ITAGUI,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,17760.0,17760.0
COL,Bucaramanga,42 CABECERA,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,17415.0,17415.0
COL,Bogotá,65 CALLE 109,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,17378.264612447,17378.264612447
