sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Usaquen+Turbo,COL,,01 USAQUEN,1904,Papas pre Fritas,Papas pre Fritas,,9000
Usaquen+Turbo,COL,,01 USAQUEN,287,Guacamole,Guacamole,,1700.0
Usaquen+Turbo,COL,,01 USAQUEN,5270,Mix de lechugas,Mix de lechugas,,900.0
Usaquen+Turbo,COL,,01 USAQUEN,246,Syrup,Syrup,Madre,4900.0
Usaquen+Turbo,COL,,01 USAQUEN,127,Almendra Fileteada,Almendra Fileteada,,480.0
Usaquen+Turbo,COL,,01 USAQUEN,1726,pepinillo en conserva,pepinillo en conserva,,140.0
Usaquen+Turbo,COL,,01 USAQUEN,3510,Jar de Oreo PROD,Jar de Oreo PROD,,3.0
Usaquen+Turbo,COL,,01 USAQUEN,3511,Jar de Limon PROD,Jar de Limon PROD,,3.0
Usaquen+Turbo,COL,,01 USAQUEN,3512,Jar de Chocolate PROD,Jar de Chocolate PROD,,3.0
Usaquen+Turbo,COL,,01 USAQUEN,3513,Jar 3 Leches PROD,Jar 3 Leches PROD,,4.0
Usaquen+Turbo,COL,,01 USAQUEN,3514,Jar de Tiramisu PROD,Jar de Tiramisu PROD,,2.0
Usaquen+Turbo,COL,,01 USAQUEN,286,Granola,Granola,,500.0
Usaquen+Turbo,COL,,01 USAQUEN,180,Jugo de Naranja Bolsa Lt,Jugo de Naranja Bolsa Lt,Madre,21900.0
Usaquen+Turbo,COL,,01 USAQUEN,179,Jugo de Mandarina Bolsa Lt,Jugo de Mandarina Bolsa Lt,,1800.0
Usaquen+Turbo,COL,,01 USAQUEN,175,Jamon De Cerdo,Jamon De Cerdo,Madre,5340.0
Usaquen+Turbo,COL,,01 USAQUEN,150,Chorizo Santarrosano,Chorizo Santarrosano,,1120.0
Usaquen+Turbo,COL,,01 USAQUEN,5594,Res desmechada.,Res desmechada.,,1200.0
Usaquen+Turbo,COL,,01 USAQUEN,2573,Tapa bowl kraft mini,Tapa bowl kraft mini,Madre,49.0
Usaquen+Turbo,COL,,01 USAQUEN,3116,Tapa Botella 300ml,Tapa Botella 300ml,Madre,103.0
Usaquen+Turbo,COL,,01 USAQUEN,441,Botella 300 ml,Botella 300 ml,Madre,103.0
Usaquen+Turbo,COL,,01 USAQUEN,459,Porta hamburguesa,Porta hamburguesa,Madre,21.0
Usaquen+Turbo,COL,,01 USAQUEN,545,Bowl Mini,Bowl Mini,Madre,49.0
Usaquen+Turbo,COL,,01 USAQUEN,2600,Caja B&M,Caja B&M,Madre,40.0
Usaquen+Turbo,COL,,01 USAQUEN,491,Servilletas,Servilletas,Madre,222.0
Usaquen+Turbo,COL,,01 USAQUEN,250,Tomate Chonto,Tomate Chonto,,6500.0
Usaquen+Turbo,COL,,01 USAQUEN,123,Aguacate Papelillo,Aguacate Papelillo,,1500.0
Usaquen+Turbo,COL,,01 USAQUEN,184,Lechuga Batavia,Lechuga Batavia,,1800.0
Usaquen+Turbo,COL,,01 USAQUEN,215,Pepino Cohombro,Pepino Cohombro,,1500.0
Usaquen+Turbo,COL,,01 USAQUEN,221,Pina Golden,Pina Golden,Madre,7400.0
Usaquen+Turbo,COL,,01 USAQUEN,210,Papaya Maradol,Papaya Maradol,Madre,3700.0
Usaquen+Turbo,COL,,01 USAQUEN,137,Banano Criollo,Banano Criollo,,600.0
Usaquen+Turbo,COL,,01 USAQUEN,164,Fresas,Fresas,,1000.0
Usaquen+Turbo,COL,,01 USAQUEN,151,Cilantro Patirojo,Cilantro Patirojo,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,163,Espinaca,Espinaca,,810.0
Usaquen+Turbo,COL,,01 USAQUEN,146,Cebolla Roja,Cebolla Roja,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,185,Lechuga Romana,Lechuga Romana,,500.0
Usaquen+Turbo,COL,,01 USAQUEN,249,Tomate Cherry,Tomate Cherry,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,145,Cebolla Larga Junca,Cebolla Larga Junca,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,130,Arandanos,Arandanos,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,181,Kale,Kale,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,243,Sorbet de acai,Sorbet de acai,,800.0
Usaquen+Turbo,COL,,01 USAQUEN,228,Queso Doble Crema,Queso Doble Crema,,2600.0
Usaquen+Turbo,COL,,01 USAQUEN,229,Queso Feta,Queso Feta,,500.0
Usaquen+Turbo,COL,,01 USAQUEN,5511,Queso cheddar tajadas UN,Queso cheddar tajadas UN,Madre,152.0
Usaquen+Turbo,COL,,01 USAQUEN,253,Tortilla De Harina,Tortilla De Harina,,55.0
Usaquen+Turbo,COL,,01 USAQUEN,159,Croissant Grande,Croissant Grande,Madre,127.0
Usaquen+Turbo,COL,,01 USAQUEN,2952,Arroz Achiotado,Arroz Achiotado,,9700.0
Usaquen+Turbo,COL,,01 USAQUEN,5091,Limonada (con base limonada),Limonada (con base limonada),,7800.0
Usaquen+Turbo,COL,,01 USAQUEN,283,Frijoles Negros,Frijoles Negros,,4940.0
Usaquen+Turbo,COL,,01 USAQUEN,269,Arroz Integral Cocido,Arroz Integral Cocido,,5500.0
Usaquen+Turbo,COL,,01 USAQUEN,464,Mezcla Pancakes Tradicionales Lista,Mezcla Pancakes Tradicionales Lista,Madre,8400.0
Usaquen+Turbo,COL,,01 USAQUEN,5082,Carne Chilli,Carne Chilli,,2600.0
Usaquen+Turbo,COL,,01 USAQUEN,4938,Pollo a las Hierbas,Pollo a las Hierbas,,3500.0
Usaquen+Turbo,COL,,01 USAQUEN,295,Papa Calentada,Papa Calentada,,1800.0
Usaquen+Turbo,COL,,01 USAQUEN,282,Frijol Paisa,Frijol Paisa,,1400.0
Usaquen+Turbo,COL,,01 USAQUEN,297,Platano Frito,Platano Frito,,1700.0
Usaquen+Turbo,COL,,01 USAQUEN,296,Pico de Gallo,Pico de Gallo,,1400.0
Usaquen+Turbo,COL,,01 USAQUEN,5094,Cerdo Desmechado,Cerdo Desmechado,,2400.0
Usaquen+Turbo,COL,,01 USAQUEN,5920,Pollo  BBQ,Pollo  BBQ,,1300.0
Usaquen+Turbo,COL,,01 USAQUEN,2730,Emulsion Alioli,Emulsion Alioli,Madre,3000.0
Usaquen+Turbo,COL,,01 USAQUEN,288,Hummus De Garbanzos,Hummus De Garbanzos,,2400.0
Usaquen+Turbo,COL,,01 USAQUEN,323,Yogur griego Preparado,Yogur griego Preparado,,600.0
Usaquen+Turbo,COL,,01 USAQUEN,319,Vinagreta Libanesa,Vinagreta Libanesa,,800.0
Usaquen+Turbo,COL,,01 USAQUEN,277,Vinagreta Cesar,Vinagreta Cesar,,600.0
Usaquen+Turbo,COL,,01 USAQUEN,5630,Maíz salteado.,Maíz salteado.,,700.0
Usaquen+Turbo,COL,,01 USAQUEN,5093,Tocineta producción,Tocineta producción,,400.0
Usaquen+Turbo,COL,,01 USAQUEN,4816,Pasta Integral Cocida,Pasta Integral Cocida,,1000.0
Usaquen+Turbo,COL,,01 USAQUEN,306,Salsa Criolla Produccion,Salsa Criolla Produccion,,450.0
Usaquen+Turbo,COL,,01 USAQUEN,5032,cebolla asada Mr.Beast,cebolla asada Mr.Beast,,616.0
Usaquen+Turbo,COL,,01 USAQUEN,4811,Quinoa especiada,Quinoa especiada,,216.0
Usaquen+Turbo,COL,,01 USAQUEN,320,Vinagreta de Jalapenos Mexicanos,Vinagreta de Jalapenos Mexicanos,,400.0
Usaquen+Turbo,COL,,01 USAQUEN,318,Vinagreta de Pesto de Genoa,Vinagreta de Pesto de Genoa,,320.0
Usaquen+Turbo,COL,,01 USAQUEN,465,Mezcla Pancakes Avena Lista,Mezcla Pancakes Avena Lista,,1100.0
Usaquen+Turbo,COL,,01 USAQUEN,4823,Hummus de Pimenton,Hummus de Pimenton,,300.0
Usaquen+Turbo,COL,,01 USAQUEN,4818,Brocoli Rostizado,Brocoli Rostizado,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,5206,Coleslaw la cosmica,Coleslaw la cosmica,,400.0
Usaquen+Turbo,COL,,01 USAQUEN,316,Vinagreta Balsamica de Modena,Vinagreta Balsamica de Modena,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,321,Vinagreta Mediterranea,Vinagreta Mediterranea,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,1283,Cebolla Encurtida Picante,Cebolla Encurtida Picante,,200.0
Usaquen+Turbo,COL,,01 USAQUEN,4991,Mezcla Tostadas Francesas Nueva,Mezcla Tostadas Francesas Nueva,,100.0
